"","Run_Date","N2O_Curve","CO2_Curve","CH4_Curve","Sample_ID","N2O_Area","CO2_Area","CH4_Area","N2O_Conc_ppm","CO2_Conc_ppm","CH4_Conc_ppm","N2O_Flag","CO2_Flag","CH4_Flag","Notes"
"1","4/20/2026","High","High","High","Gcrew_WC_A_T4",15317,5336225,208259,-9.78240827251287,43706.209395568,328.926486295354,"BDL","Within Range","Within Range",NA
"2","4/20/2026","High","High","Low","Gcrew_UP_A_T2",51643,8868999,1604,17.4303152554051,74515.4807099064,1.94980230791173,"Within Range","ADL","BDL",NA
"3","4/20/2026","High","High","Low","Gcrew_UP_A_T3",73878,9099878,1617,34.0871150033337,76528.973152894,1.97201414411896,"Within Range","ADL","BDL",NA
"4","4/20/2026","High","High","Low","Gcrew_UP_A_T4",87584,8945538,1744,44.3546255652905,75182.9762296108,2.18900669783574,"Within Range","ADL","BDL",NA
"5","4/20/2026","High","High","Low","Gcrew_UP_A_T5",203109,9077865,2058,130.89731910608,76336.998096057,2.72550797237962,"Within Range","ADL","Within Range",NA
"6","4/20/2026","High","High","Low","Gcrew_UP_A_T6",149769,8370990,1770,90.9389787168508,70172.3513735882,2.23343037025021,"Within Range","ADL","BDL",NA
"7","4/20/2026","High","High","Low","Gcrew_UP_B_T4",115262,9255008,2112,65.0889140034812,77881.8596548308,2.81777252277888,"Within Range","ADL","Within Range",NA
"8","4/20/2026","High","High","Low","Gcrew_UP_B_T5",160629,9705179,2546,99.074478841092,81807.794480225,3.55930613154334,"Within Range","ADL","Within Range",NA
"9","4/20/2026","High","High","High","Gcrew_WC_A_T3",17744,7097916,935032,-7.96428131104569,59069.8913041838,1490.33439651185,"BDL","ADL","ADL",NA
"10","4/20/2026","High","High","Low","Gcrew_UP_B_T3",94616,9598168,2494,49.622474264523,80874.5530861764,3.47045878671442,"Within Range","ADL","Within Range",NA
"11","4/20/2026","High","High","Low","Gcrew_UP_C_T1",43293,8835037,1741,11.1751194876873,74219.2985956875,2.18388088948023,"Within Range","ADL","BDL",NA
"12","4/20/2026","High","High","Low","Gcrew_UP_C_T2",71487,8067341,1678,32.2959565505657,67524.2328057637,2.07623891401442,"Within Range","ADL","BDL",NA
